Countries,World Rank,2019 Score,Judical Effectiveness,Government Integrity,Tax Burden,Gov't Spending,Business Freedom,Trade Freedom,Investment Freedom ,Financial Freedom,Tariff Rate (%),Income Tax Rate (%),Corporate Tax Rate (%),Tax Burden % of GDP,Gov't Expenditure % of GDP ,Population (Millions),GDP Growth Rate (%),5 Year GDP Growth Rate (%)
Afghanistan,152,51.5,29.6,25.2,91.7,80.3,49.2,66,10,10,7,20,20,5,25.6,35.5,2.5,2.9
Albania,52,66.5,30.6,40.4,86.3,73.9,69.3,87.8,70,70,1.1,23,15,24.9,29.5,2.9,3.9,2.5
Algeria,171,46.2,36.2,28.9,76.4,48.7,61.6,67.4,30,30,8.8,35,23,24.5,41.4,41.5,2,3.1
Angola,156,50.6,26.6,20.5,83.9,80.7,55.7,61.2,30,40,9.4,17,30,20.6,25.3,28.2,0.7,2.9
Argentina,148,52.2,44.5,33.5,69.3,49.5,56.4,70,55,60,7.5,35,30,30.8,41,44.1,2.9,0.7
Armenia,47,67.7,46.3,38.6,84.7,79,78.3,80.8,75,70,2.1,26,20,21.3,26.4,3,7.5,3.6
Australia,5,80.9,86.5,79.9,62.8,60.1,88.3,87.6,80,90,1.2,45,30,28.2,36.5,24.8,2.3,2.4
Austria,31,72,71.3,77.4,50.5,24.5,74.9,86,90,70,2,50,25,42.7,50.2,8.8,2.9,1.3
Azerbaijan,60,65.4,53.1,44.7,87.5,59.5,69.5,74.6,60,60,5.2,25,20,15,36.7,9.8,0.1,1.2
Bahamas,76,62.9,46.9,43.7,97.3,86.8,68.5,47.8,50,60,18.6,0,0,16.3,21,0.4,1.3,-0.7
Bahrain,54,66.4,50.7,53.6,99.7,62.7,71.4,83.8,75,80,3.1,0,0,5.6,35.3,1.5,3.2,3.8
Bangladesh,121,55.6,34.5,24.4,72.7,94.5,50.9,63.6,45,30,10.7,25,45,8.8,13.6,163.2,7.1,6.7
Barbados,67,64.7,59.9,53.8,70.1,65,69.8,56.6,70,60,14.2,35,25,33.7,34.1,0.3,0.9,0.6
Belarus,104,57.9,51.7,37.7,89.4,41.3,75,76.4,30,10,1.8,13,18,23.8,44.2,9.5,2.4,-0.3
Belgium,48,67.3,61.6,72.5,47.1,15.2,78.1,86,85,70,2,50,29,44.2,53.2,11.4,1.7,1.2
Belize,123,55.4,46.9,27.2,79.9,65.9,61.8,64,55,50,10.5,25,25,27.6,33.7,0.4,0.8,1.8
Benin,127,55.3,32.8,28.1,69.3,83.4,62.4,61.8,70,50,11.6,45,30,11.9,23.5,11.1,5.6,5
