Countries,World Rank,2019 Score,Judical Effectiveness,Government Integrity,Tax Burden,Gov't Spending,Business Freedom,Trade Freedom,Investment Freedom ,Financial Freedom,Tariff Rate (%),Income Tax Rate (%),Corporate Tax Rate (%),Tax Burden % of GDP,Gov't Expenditure % of GDP ,Population (Millions),GDP Growth Rate (%),5 Year GDP Growth Rate (%),region,pf_rol_procedural,pf_rol_civil,pf_rol_criminal,pf_rol,pf_ss_homicide,pf_ss_disappearances_disap,pf_ss_disappearances_violent,pf_ss_disappearances_organized,pf_ss_disappearances_fatalities,pf_ss_disappearances_injuries,pf_ss_disappearances,pf_ss_women_fgm,pf_ss_women_missing,pf_ss_women_inheritance_widows,pf_ss_women_inheritance_daughters,pf_ss_women_inheritance,pf_ss_women,pf_ss,pf_movement_domestic,pf_movement_foreign,pf_movement_women,pf_movement,pf_religion_estop_establish,pf_religion_estop_operate,pf_religion_estop,pf_religion_harassment,pf_religion_restrictions,pf_religion,pf_association_association,pf_association_assembly,pf_association_political_establish,pf_association_political_operate,pf_association_political,pf_association_prof_establish,pf_association_prof_operate,pf_association_prof,pf_association_sport_establish,pf_association_sport_operate,pf_association_sport,pf_association,pf_expression_killed,pf_expression_jailed,pf_expression_influence,pf_expression_control,pf_expression_cable,pf_expression_newspapers,pf_expression_internet,pf_expression,pf_identity_legal,pf_identity_parental_marriage,pf_identity_parental_divorce,pf_identity_parental,pf_identity_sex_male,pf_identity_sex_female,pf_identity_sex,pf_identity_divorce,pf_identity,pf_score,pf_rank,ef_government_consumption,ef_government_transfers,ef_government_enterprises,ef_government_tax_income,ef_government_tax_payroll,ef_government_tax,ef_government,ef_legal_judicial,ef_legal_courts,ef_legal_protection,ef_legal_military,ef_legal_integrity,ef_legal_enforcement,ef_legal_restrictions,ef_legal_police,ef_legal_crime,ef_legal_gender,ef_legal,ef_money_growth,ef_money_sd,ef_money_inflation,ef_money_currency,ef_money,ef_trade_tariffs_revenue,ef_trade_tariffs_mean,ef_trade_tariffs_sd,ef_trade_tariffs,ef_trade_regulatory_nontariff,ef_trade_regulatory_compliance,ef_trade_regulatory,ef_trade_black,ef_trade_movement_foreign,ef_trade_movement_capital,ef_trade_movement_visit,ef_trade_movement,ef_trade,ef_regulation_credit_ownership,ef_regulation_credit_private,ef_regulation_credit_interest,ef_regulation_credit,ef_regulation_labor_minwage,ef_regulation_labor_firing,ef_regulation_labor_bargain,ef_regulation_labor_hours,ef_regulation_labor_dismissal,ef_regulation_labor_conscription,ef_regulation_labor,ef_regulation_business_adm,ef_regulation_business_bureaucracy,ef_regulation_business_start,ef_regulation_business_bribes,ef_regulation_business_licensing,ef_regulation_business_compliance,ef_regulation_business,ef_regulation,ef_score,ef_rank,hf_score,hf_rank,hf_quartile
Albania,52.0,66.5,30.6,40.4,86.3,73.9,69.3,87.8,70.0,70.0,1.1,23.0,15.0,24.9,29.5,2.9,3.9,2.5,Eastern Europe,6.108120619,4.802975012,4.583262588,5.164786073,9.096927089,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.5,5.0,5.0,5.0,7.5,8.865642363,5.0,10.0,5.0,6.666666667,,,10.0,9.233333333,8.472222222000001,9.235185185,10.0,10.0,,,10.0,,,10.0,,,10.0,10.0,10.0,10.0,5.0,5.5,10.0,10.0,10.0,8.642857142999999,0.0,10.0,10.0,10.0,10.0,10.0,10.0,5.0,6.25,7.587078008,61.0,8.185294118,7.509902296,8.0,9.0,7.0,8.0,7.9237991029999995,2.7460468989999995,2.97014404,4.228486942,8.333333332999999,4.166666667,4.387444055,6.386673238999999,6.719298362999999,6.278342661,0.9487179490000001,5.003488819,9.292549966000001,9.427512887999999,9.622438094,10.0,9.585625237,9.353333333,9.24,8.024,8.872444444,5.439022597,9.405327776,7.4221751860000005,10.0,5.553254317,4.615384615,8.296923098999999,6.155187344,8.112451744,5.0,7.629,10.0,7.542999999999999,5.566666667000001,5.026637868,6.090413268,8.0,6.299740913,10.0,6.830576453,6.080709213,6.0,9.733822237,4.186487668,7.324944072,7.074365792,6.733388164,7.035654872,7.53,34.0,7.558539004,49.0,2.0
Algeria,171.0,46.2,36.2,28.9,76.4,48.7,61.6,67.4,30.0,30.0,8.8,35.0,23.0,24.5,41.4,41.5,2.0,3.1,Middle East & North Africa,,,,3.895039415,9.456253595,10.0,9.080379697,5.0,9.824436124,9.904693896,8.761901943,10.0,7.5,0.0,0.0,0.0,5.833333333,8.017162957,5.0,5.0,5.0,5.0,,,5.0,6.895555556000001,4.072222222,5.322592593,5.0,5.0,,,5.0,,,5.0,,,5.0,5.0,10.0,10.0,2.666666667,4.25,10.0,7.5,7.5,7.416666667,,0.0,5.0,2.5,0.0,0.0,0.0,0.0,0.833333333,5.335309852,142.0,1.611764706,7.817129014,0.0,7.0,2.0,4.5,3.48222343,4.072191392,4.156907806,4.388349541,4.166666667,5.0,4.507538039,6.626692153,6.08695666,5.999988957999999,0.8205128209999999,4.551817203,7.025469628,6.342685256,9.043004607,5.0,6.852789873,8.48,6.24,5.7888,6.836266667,4.287389015,0.0,2.1436945080000003,5.563909774,3.363314281,0.0,1.1062564129999999,1.4898568980000002,4.0084319619999995,0.0,5.571000000000001,10.0,5.190333333,5.566666667000001,3.783949637,5.545816433,6.0,7.755176154,1.0,4.941934815,3.74800323,1.5555555559999998,9.243069793,3.5985256210000003,8.797559902,7.029528486,5.662040431,5.2647695269999994,4.83,156.0,5.082654926,152.0,4.0
Angola,156.0,50.6,26.6,20.5,83.9,80.7,55.7,61.2,30.0,40.0,9.4,17.0,30.0,20.6,25.3,28.2,0.7,2.9,Sub-Saharan Africa,,,,3.512106161,8.060260239,5.0,10.0,7.5,10.0,10.0,8.5,10.0,10.0,5.0,5.0,5.0,8.333333332999999,8.297864524,0.0,5.0,10.0,5.0,,,10.0,8.815555556,7.455555556,8.757037037,2.5,2.5,,,2.5,,,5.0,,,7.5,4.0,10.0,10.0,3.333333333,2.5,7.5,5.0,7.5,6.547619048,10.0,10.0,10.0,10.0,0.0,0.0,0.0,10.0,7.5,6.13295828,114.0,6.235294118,8.886739306,0.0,10.0,9.0,9.5,6.155508356,1.843129164,1.974565724,2.5123641869999997,3.333333333,4.166666667,2.302200397,5.423011165,3.0161039869999997,4.291196631,0.846153846,2.960263718,9.052059273,5.545665112999999,7.944134656,5.0,6.88546476,8.92,7.72,4.2544,6.9648,3.132738335,0.0,1.566369167,10.0,2.94691933,3.076923077,0.110625641,2.044822683,5.143997963,8.0,9.194715492,9.0,8.731571831,8.9,2.656197601,5.172987096,4.0,6.632764231,0.0,4.560324821,2.758427817,1.5555555559999998,8.558532044,2.166511021,7.607170846,6.782923304,4.904853431,6.065583361,5.44,148.0,5.78647914,137.0,4.0
Argentina,148.0,52.2,44.5,33.5,69.3,49.5,56.4,70.0,55.0,60.0,7.5,35.0,30.0,30.8,41.0,44.1,2.9,0.7,Latin America & the Caribbean,6.6752616510000005,5.674435283999999,4.25560255,5.535099829,7.386323317,10.0,10.0,7.5,10.0,10.0,9.5,10.0,10.0,10.0,10.0,10.0,10.0,8.962107772000001,10.0,10.0,10.0,10.0,,,7.5,8.944444444,7.222222222,7.8888888889999995,7.5,10.0,,,5.0,,,7.5,,,7.5,7.5,10.0,10.0,5.333333333,5.0,10.0,10.0,10.0,8.619047619,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,8.025095551,45.0,5.285294118,6.048930423,6.0,7.0,1.0,4.0,5.333556135,3.030578338,2.8947949410000002,3.655030465,7.5,3.333333333,4.123465983,6.857195103,3.2801417510000004,4.1527913530000005,0.7692307690000001,3.81636162,5.179317925,5.918005001,4.724,10.0,6.455330731,4.153333333,7.28,6.0288,5.8207111110000005,4.037772209,5.15562923,4.59670072,0.0,4.782937331,0.7692307690000001,7.965046175,4.505738092,3.730787481,5.0,5.2860000000000005,10.0,6.7620000000000005,1.6666666669999999,2.258974344,3.352490266,10.0,2.517253846,10.0,4.9658975210000005,2.050997123,4.444444444,9.101895171,2.595698675,5.351838403,5.975851798,4.920120936,5.549339485,4.98,153.0,6.502547776,107.0,3.0
Armenia,47.0,67.7,46.3,38.6,84.7,79.0,78.3,80.8,75.0,70.0,2.1,26.0,20.0,21.3,26.4,3,7.5,3.6,Caucasus & Central Asia,,,,4.6799897139999995,8.97152848,10.0,10.0,7.5,10.0,9.931435232,9.486287046000001,10.0,5.0,10.0,10.0,10.0,8.333333332999999,8.930382952999999,5.0,5.0,10.0,6.666666667,,,5.0,8.555555556,5.555555556,6.37037037,7.5,7.5,,,5.0,,,5.0,,,7.5,6.5,10.0,10.0,3.333333333,4.25,7.5,7.5,7.5,7.154761905,7.0,10.0,10.0,10.0,10.0,10.0,10.0,5.0,8.0,6.871773061,87.0,7.5352941179999995,7.748532262,8.0,5.0,5.0,5.0,7.070956595,3.604283587,4.040783122,5.482346623,5.833333333,5.0,5.196692523,9.80196309,5.675675869,7.365155344,1.0,5.777803721000001,9.53589504,9.134324075,9.254682793999999,10.0,9.481225477999999,9.113333333,8.78,8.3896,8.760977777999999,6.14148033,8.466278563,7.303879447000001,10.0,5.332246787,5.384615385,10.0,6.905620723999999,8.242619487,10.0,6.987,10.0,8.995666667,5.566666667000001,6.014432176000001,7.36822549,10.0,8.992707249,0.0,6.32367193,4.573262229,5.777777778,9.862479853,4.3994616010000005,9.5480102,6.491480816,6.775412079,7.364916892,7.59,29.0,7.23088653,63.0,2.0
Australia,5.0,80.9,86.5,79.9,62.8,60.1,88.3,87.6,80.0,90.0,1.2,45.0,30.0,28.2,36.5,24.8,2.3,2.4,Oceania,8.495797689,7.6677743629999995,7.51814726,7.893906437,9.603353945,10.0,10.0,10.0,9.972048438,10.0,9.994409688,10.0,10.0,10.0,10.0,10.0,10.0,9.865921211,10.0,10.0,10.0,10.0,,,10.0,8.666666667000001,8.755555556000001,9.140740741,10.0,10.0,,,10.0,,,10.0,,,10.0,10.0,10.0,10.0,8.0,7.5,10.0,10.0,10.0,9.357142857000001,7.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.25,9.214745272,11.0,4.708823529,6.664947872000001,10.0,5.0,5.0,5.0,6.59344285,8.729690834,5.94367355,8.090725441,10.0,9.166666667000001,6.163151928,8.205654997,8.764045238,6.889687177999999,1.0,7.994810648,8.823098382000001,8.919129002,9.698326656,10.0,9.36013851,9.073333332999999,9.5,8.5,9.024444444,6.501839071,8.422491892,7.462165481,10.0,7.023069242,4.615384615,0.110625641,3.916359833,7.60074244,10.0,8.751,10.0,9.583666667000001,8.9,3.555915207,5.559640657999999,10.0,7.927854911,10.0,7.657235129,3.978294973,10.0,9.912605544,6.9653383810000005,9.091938285,8.823020721,8.128532984,8.45647826,8.0,8.0,8.607372636000001,5.0,1.0
Austria,31.0,72.0,71.3,77.4,50.5,24.5,74.9,86.0,90.0,70.0,2.0,50.0,25.0,42.7,50.2,8.8,2.9,1.3,Western Europe,9.373309391,8.027584801,8.331508695,8.577467629,9.78798563,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.929328542999999,10.0,10.0,10.0,10.0,,,10.0,8.222222222000001,6.477777777999999,8.233333333,10.0,10.0,,,10.0,,,10.0,,,10.0,10.0,10.0,10.0,7.333333333,7.75,10.0,10.0,10.0,9.297619048,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.379794281,3.0,3.6941176469999997,3.10106205,10.0,4.0,3.0,3.5,5.0737949239999995,7.290996561,6.187249637000001,8.194186048999999,10.0,10.0,6.220992578,8.10049394,8.634920915,7.511032535,1.0,8.015541357,8.759314604,9.886400242999999,9.820686767,10.0,9.616600404,9.100559738,8.98,7.0012,8.360586579,6.399057585,9.963313765,8.181185675,10.0,7.017330342,3.076923077,7.743794892,5.946016104,8.12194709,8.0,9.38,10.0,9.126666667,8.9,3.333333333,2.079198618,6.0,10.0,3.0,5.552088659,4.452577677,8.888888889,9.282536712,6.460748537000001,7.295935387999999,8.531578233,7.485377572999999,7.388044299,7.64,27.0,8.509897141,12.0,1.0
Azerbaijan,60.0,65.4,53.1,44.7,87.5,59.5,69.5,74.6,60.0,60.0,5.2,25.0,20.0,15.0,36.7,9.8,0.1,1.2,Caucasus & Central Asia,,,,4.262049381000001,9.143499301,10.0,7.512783515,7.5,10.0,10.0,9.002556703,10.0,7.5,5.0,10.0,7.5,8.333333332999999,8.826463112,5.0,5.0,5.0,5.0,,,2.5,8.551111111,6.016666667000001,5.689259259,2.5,5.0,,,2.5,,,2.5,,,2.5,3.0,0.0,1.709278385,0.333333333,0.5,10.0,0.0,7.5,2.863230245,0.0,10.0,10.0,10.0,10.0,10.0,10.0,5.0,6.25,5.552377074,137.0,6.379411765,7.881207817000001,0.0,9.0,4.0,6.5,5.190154896,4.435002936,5.0218711560000004,5.404651509,5.0,5.833333333,7.252962407999999,9.773614234,5.454725663,7.579224851,0.7179487179999999,5.321383003,9.700889862999999,5.364751543,9.165606855,5.0,7.307812065,8.893333333,8.18,6.6148,7.896044444,5.590111997,7.636696028999999,6.613404012999999,10.0,5.6553297570000005,4.615384615,1.4381333369999998,3.902949237,7.103099424,5.0,8.718,9.0,7.572666667000001,8.333333332999999,5.839999993999999,7.451658514,8.0,7.755176154,1.0,6.396694666,5.516917441,6.444444444,9.890294599,4.504738413,7.600112646,7.814181339,6.96178148,6.977047604,6.38,115.0,5.966188537000001,131.0,4.0
Bahamas,76.0,62.9,46.9,43.7,97.3,86.8,68.5,47.8,50.0,60.0,18.6,0.0,0.0,16.3,21.0,0.4,1.3,-0.7,Latin America & the Caribbean,6.943622271000001,6.195883027000001,6.754618794,6.631374697,0.0,10.0,10.0,,10.0,10.0,10.0,,,,,,,5.0,10.0,10.0,,10.0,,,,9.355555556,6.25,7.802777777999999,,,,,,,,,,,,,10.0,10.0,8.333333332999999,7.5,,,,8.958333332999999,,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,7.502982563,63.0,7.167647059,9.040503457,7.0,10.0,10.0,10.0,8.302037628999999,,6.6,,10.0,7.5,4.699256582,6.149350211000001,,,0.9459459459999999,6.80080997,8.685871083,8.805351203999999,9.626,0.0,6.779305572,4.64,3.22,2.2708,3.376933333,,8.105924622,8.105924622,10.0,,0.7692307690000001,10.0,5.384615385,6.716868335,10.0,5.868199597,10.0,8.622733198999999,8.9,,,8.0,6.546424852,10.0,8.361606213,,5.555555556,9.166682937000001,,7.981672077000001,7.388226932999999,7.523034376,8.169124596,7.35,50.0,7.426491282000001,52.0,2.0
Bahrain,54.0,66.4,50.7,53.6,99.7,62.7,71.4,83.8,75.0,80.0,3.1,0.0,0.0,5.6,35.3,1.5,3.2,3.8,Middle East & North Africa,,,,5.972326252999999,9.790481421,10.0,10.0,2.5,8.78509998,6.7926639479999995,7.615552786,10.0,7.5,0.0,0.0,0.0,5.833333333,7.746455847000001,10.0,5.0,5.0,6.666666667,,,10.0,8.288888888999999,4.994444444,7.761111111,5.0,0.0,,,0.0,,,10.0,,,10.0,5.0,10.0,0.0,0.666666667,0.75,7.5,7.5,2.5,4.130952381,,0.0,0.0,0.0,10.0,10.0,10.0,0.0,3.333333333,6.118901874,118.0,3.487887387,9.581704339,4.0,10.0,10.0,10.0,6.767397932000001,6.822563237000001,6.23140069,7.435712795,5.0,7.5,4.785814418,8.855314534,7.764705817,7.287250156,0.5365853660000001,5.2656016039999995,9.961595769,7.133846847999999,9.632801261000001,10.0,9.182060969,9.48,9.06,7.2928,8.610933333,6.712476024,5.878712993,6.295594508,10.0,7.456231853999999,6.153846154,0.7743794890000001,4.794819166,7.425336752000001,10.0,5.275,10.0,8.425,8.333333332999999,5.687466921,7.695705635,8.0,9.585570982,10.0,8.217012812,6.084863737999999,7.777777778,9.672090694,6.596744697999999,8.534180978,9.697348185,8.060501012000001,8.234171275,7.37,48.0,6.744450937000001,85.0,3.0
