timestamp,status
2015-12-24 03:27:19,ON
2015-12-24 03:30:20,OFF
2015-12-24 03:37:17,ON
2015-12-24 03:40:18,OFF
2015-12-24 03:47:15,ON
2015-12-24 03:50:16,OFF
2015-12-24 03:57:14,ON
2015-12-24 04:00:14,OFF
2015-12-24 04:07:12,ON
2015-12-24 04:10:12,OFF
2015-12-24 04:17:10,ON
2015-12-24 04:20:10,OFF
2015-12-24 04:27:08,ON
2015-12-24 04:31:08,OFF
2015-12-24 04:37:05,ON
2015-12-24 04:41:06,OFF
2015-12-24 04:47:04,ON
2015-12-24 04:51:04,OFF
2015-12-24 04:57:02,ON
2015-12-24 05:01:03,OFF
2015-12-24 05:07:00,ON
2015-12-24 05:11:00,OFF
2015-12-24 05:16:58,ON
2015-12-24 05:20:58,OFF
2015-12-24 05:26:56,ON
2015-12-24 05:30:56,OFF
2015-12-24 05:36:54,ON
2015-12-24 07:24:38,OFF
2015-12-24 07:26:35,ON
2015-12-24 07:33:35,OFF
2015-12-24 07:36:33,ON
2015-12-24 07:41:33,OFF
2015-12-24 07:46:31,ON
2015-12-24 07:50:32,OFF
2015-12-24 07:56:29,ON
2015-12-24 08:00:29,OFF
2015-12-24 09:56:09,ON
2015-12-24 10:00:10,OFF
2015-12-24 10:06:07,ON
2015-12-24 10:10:07,OFF
2015-12-24 10:16:05,ON
2015-12-24 10:21:06,OFF
2015-12-24 10:26:03,ON
2015-12-24 10:29:03,OFF
2015-12-24 10:45:59,ON
2015-12-24 10:49:00,OFF
2015-12-24 10:55:57,ON
2015-12-24 10:58:58,OFF
2015-12-24 11:05:55,ON
2015-12-24 11:09:56,OFF
2015-12-24 11:15:53,ON
2015-12-24 11:18:54,OFF
2015-12-24 15:15:09,ON
2015-12-24 15:18:10,OFF
2015-12-24 15:25:07,ON
2015-12-24 15:28:07,OFF
2015-12-24 15:35:05,ON
2015-12-24 15:38:06,OFF
2015-12-24 16:14:57,ON
2015-12-24 16:17:58,OFF
2015-12-24 16:24:56,ON
2015-12-24 16:27:56,OFF
2015-12-24 16:34:53,ON
2015-12-24 16:37:53,OFF
2015-12-24 17:44:39,ON
2015-12-24 17:47:39,OFF
2015-12-24 17:54:37,ON
2015-12-24 17:57:37,OFF
2015-12-24 18:04:35,ON
2015-12-24 18:07:35,OFF
2015-12-24 18:14:33,ON
2015-12-24 18:17:33,OFF
2015-12-24 19:04:24,ON
2015-12-24 19:07:25,OFF
2015-12-24 19:14:21,ON
2015-12-24 19:17:21,OFF
2015-12-24 21:23:55,ON
2015-12-24 21:26:55,OFF
2015-12-24 21:33:54,ON
2015-12-24 21:36:54,OFF
2015-12-24 21:43:52,ON
2015-12-24 21:46:52,OFF
2015-12-24 21:53:50,ON
2015-12-24 21:56:51,OFF
2015-12-24 22:03:49,ON
2015-12-24 22:07:03,OFF
2015-12-24 22:13:47,ON
2015-12-24 22:16:48,OFF
2015-12-24 23:03:38,ON
2015-12-24 23:06:38,OFF
