timestamp,NO2,PM10,PM25
2016-02-04 00:00:00,80.2,20.2,12.9
2016-02-04 01:00:00,58.4,16.0,7.2
2016-02-04 02:00:00,44.5,15.2,6.0
2016-02-04 03:00:00,43.9,13.9,5.3
2016-02-04 04:00:00,46.8,12.4,5.7
2016-02-04 05:00:00,64.3,9.8,4.7
2016-02-04 06:00:00,91.4,12.4,8.7
2016-02-04 07:00:00,96.2,11.7,8.9
2016-02-04 08:00:00,106.6,16.1,12.9
2016-02-04 09:00:00,101.3,18.9,13.4
2016-02-04 10:00:00,93.7,25.0,16.3
2016-02-04 11:00:00,85.0,19.6,12.2
2016-02-04 12:00:00,65.2,12.8,8.3
2016-02-04 13:00:00,57.6,10.1,5.1
2016-02-04 14:00:00,47.2,12.1,9.6
2016-02-04 15:00:00,45.6,5.9,1.3
2016-02-04 16:00:00,73.5,20.2,16.3
2016-02-04 17:00:00,105.4,28.4,17.8
2016-02-04 18:00:00,115.4,30.3,22.4
2016-02-04 19:00:00,117.2,29.6,20.0
2016-02-04 20:00:00,111.6,34.9,27.2
2016-02-04 21:00:00,109.2,28.9,22.0
2016-02-04 22:00:00,89.2,28.1,20.8
2016-02-04 23:00:00,86.4,29.3,13.4
2016-02-05 00:00:00,78.0,27.0,13.1
2016-02-05 01:00:00,74.7,16.7,7.9
2016-02-05 02:00:00,60.2,12.1,4.1
2016-02-05 03:00:00,52.7,11.9,5.5
2016-02-05 04:00:00,53.1,13.3,6.9
2016-02-05 05:00:00,71.5,16.9,10.5
2016-02-05 06:00:00,113.6,27.6,20.9
2016-02-05 07:00:00,140.2,29.2,20.3
2016-02-05 08:00:00,141.5,33.9,24.4
2016-02-05 09:00:00,131.1,28.4,19.6
2016-02-05 10:00:00,142.1,25.2,15.4
2016-02-05 11:00:00,128.6,31.7,17.9
2016-02-05 12:00:00,117.9,22.6,12.9
2016-02-05 13:00:00,118.1,29.8,17.7
2016-02-05 14:00:00,123.8,28.3,13.5
2016-02-05 15:00:00,117.0,33.4,16.9
2016-02-05 16:00:00,113.1,24.7,12.5
2016-02-05 17:00:00,87.9,22.0,9.7
2016-02-05 18:00:00,88.9,19.8,10.9
2016-02-05 19:00:00,85.8,23.0,15.8
2016-02-05 20:00:00,82.0,13.6,10.4
