timestamp,NO2,O3,PM10,PM25
2016-02-04 00:00:00,55.8,7.3,12.7,6.1
2016-02-04 01:00:00,33.5,23.2,12.9,7.2
2016-02-04 02:00:00,29.3,27.7,17.2,3.9
2016-02-04 03:00:00,22.4,40.2,16.8,1.1
2016-02-04 04:00:00,20.7,46.0,10.2,7.4
2016-02-04 05:00:00,24.2,46.6,5.7,1.9
2016-02-04 06:00:00,32.4,42.8,8.2,0.2
2016-02-04 07:00:00,55.0,24.2,7.0,3.2
2016-02-04 08:00:00,68.6,11.8,8.2,4.3
2016-02-04 09:00:00,77.4,8.5,10.3,7.9
2016-02-04 10:00:00,76.4,10.5,13.5,8.3
2016-02-04 11:00:00,77.9,14.6,15.0,6.4
2016-02-04 12:00:00,72.7,19.5,10.9,4.3
2016-02-04 13:00:00,66.3,24.0,9.2,1.2
2016-02-04 14:00:00,72.2,18.6,9.0,3.2
2016-02-04 15:00:00,75.8,14.5,8.1,3.8
2016-02-04 16:00:00,84.5,9.3,10.3,5.5
2016-02-04 17:00:00,96.7,3.3,13.3,6.6
2016-02-04 18:00:00,93.1,3.4,12.2,10.1
2016-02-04 19:00:00,85.7,1.1,17.0,12.7
2016-02-04 20:00:00,71.4,2.7,22.4,14.3
2016-02-04 21:00:00,61.3,6.6,20.6,18.0
2016-02-04 22:00:00,55.4,10.3,18.7,13.9
2016-02-04 23:00:00,45.6,20.5,14.1,6.8
2016-02-05 00:00:00,38.9,34.1,11.2,4.1
2016-02-05 01:00:00,25.1,55.2,12.8,6.7
2016-02-05 02:00:00,22.8,56.5,11.1,3.2
2016-02-05 03:00:00,19.2,56.8,10.1,4.3
2016-02-05 04:00:00,19.3,57.5,8.8,5.4
2016-02-05 05:00:00,19.2,57.6,8.0,4.0
2016-02-05 06:00:00,30.6,42.2,12.4,3.2
2016-02-05 07:00:00,60.8,15.0,13.4,8.3
2016-02-05 08:00:00,70.3,16.1,16.4,5.4
2016-02-05 09:00:00,61.3,25.6,12.4,5.9
2016-02-05 10:00:00,53.3,28.3,13.5,5.9
2016-02-05 11:00:00,47.4,36.4,12.2,4.0
2016-02-05 12:00:00,44.8,36.9,9.0,4.1
2016-02-05 13:00:00,47.6,33.9,12.3,5.6
2016-02-05 14:00:00,43.6,36.6,10.9,4.0
2016-02-05 15:00:00,42.4,38.3,14.2,5.3
2016-02-05 16:00:00,44.4,38.2,13.7,5.2
2016-02-05 17:00:00,37.0,46.2,8.2,6.2
2016-02-05 18:00:00,41.7,37.8,14.7,7.8
2016-02-05 19:00:00,42.4,37.6,13.3,8.0
2016-02-05 20:00:00,36.3,42.7,13.3,6.4
2016-02-05 21:00:00,29.9,46.8,9.6,6.6
2016-02-05 22:00:00,32.7,44.0,11.9,4.9
2016-02-05 23:00:00,32.3,45.0,12.3,7.2
2016-02-06 00:00:00,,49.6,15.4,5.2
2016-02-06 01:00:00,,48.5,12.9,4.2
2016-02-06 02:00:00,26.7,49.1,8.8,5.3
2016-02-06 03:00:00,23.5,49.8,7.4,3.0
2016-02-06 04:00:00,25.9,48.3,5.7,2.4
2016-02-06 05:00:00,20.4,54.9,11.6,3.6
2016-02-06 06:00:00,21.0,55.7,12.1,4.5
2016-02-06 07:00:00,23.7,53.3,12.4,5.7
2016-02-06 08:00:00,28.5,49.9,11.8,7.3
2016-02-06 09:00:00,29.5,50.9,15.2,6.6
2016-02-06 10:00:00,26.5,54.9,14.7,2.7
2016-02-06 11:00:00,22.3,59.8,13.4,7.1
2016-02-06 12:00:00,22.6,62.1,21.0,6.7
2016-02-06 13:00:00,22.6,63.8,26.7,5.4
2016-02-06 14:00:00,21.0,65.0,21.2,12.2
2016-02-06 15:00:00,22.5,63.5,25.6,8.4
2016-02-06 16:00:00,25.0,63.1,19.4,11.0
2016-02-06 17:00:00,25.9,62.5,21.5,13.3
2016-02-06 18:00:00,27.2,61.7,18.5,12.8
2016-02-06 19:00:00,27.7,55.3,18.7,9.9
2016-02-06 20:00:00,28.0,53.5,18.5,7.9
2016-02-06 21:00:00,26.0,56.8,19.6,5.0
2016-02-06 22:00:00,27.7,55.2,14.8,5.6
2016-02-06 23:00:00,28.7,64.0,1.7,4.8
2016-02-07 00:00:00,33.4,53.9,4.9,0.0
2016-02-07 01:00:00,36.5,49.1,4.6,1.5
2016-02-07 02:00:00,28.7,54.5,7.4,-0.5
2016-02-07 03:00:00,25.1,54.7,9.6,2.2
2016-02-07 04:00:00,24.8,52.4,12.9,4.7
2016-02-07 05:00:00,22.3,54.1,11.9,1.0
2016-02-07 06:00:00,24.9,50.4,10.8,0.2
2016-02-07 07:00:00,28.3,48.6,7.3,1.6
2016-02-07 08:00:00,28.9,47.7,9.0,0.7
2016-02-07 09:00:00,24.4,53.4,8.4,3.6
2016-02-07 10:00:00,19.1,58.8,8.6,-1.2
2016-02-07 11:00:00,18.4,61.2,7.9,-0.2
2016-02-07 12:00:00,17.5,62.1,11.4,2.6
2016-02-07 13:00:00,18.7,61.4,13.3,3.7
2016-02-07 14:00:00,23.3,58.5,14.3,7.2
2016-02-07 15:00:00,28.3,55.5,13.9,9.3
2016-02-07 16:00:00,31.2,54.1,12.1,5.7
2016-02-07 17:00:00,28.5,56.7,13.4,5.9
2016-02-07 18:00:00,27.9,58.1,10.1,6.0
2016-02-07 19:00:00,24.9,61.6,11.9,2.5
2016-02-07 20:00:00,,63.0,8.2,3.0
2016-02-07 21:00:00,,59.0,6.4,1.0
2016-02-07 22:00:00,,58.9,,
2016-02-07 23:00:00,,73.7,7.7,-0.6
2016-02-08 00:00:00,,77.3,5.8,4.4
2016-02-08 01:00:00,,73.1,12.8,5.4
2016-02-08 02:00:00,,77.0,11.2,5.6
2016-02-08 03:00:00,,75.7,16.7,-2.0
2016-02-08 04:00:00,,77.1,13.3,5.9
2016-02-08 05:00:00,,73.7,15.4,4.5
2016-02-08 06:00:00,,67.9,14.8,3.9
2016-02-08 07:00:00,,53.8,16.2,6.1
2016-02-08 08:00:00,36.2,51.6,20.9,7.3
2016-02-08 09:00:00,28.7,55.6,19.5,5.9
2016-02-08 10:00:00,26.3,57.4,,4.9
2016-02-08 11:00:00,,58.6,,5.5
2016-02-08 12:00:00,,,,
2016-02-08 15:00:00,28.2,,,
2016-02-08 16:00:00,30.5,52.8,,
2016-02-08 17:00:00,30.1,51.8,,
2016-02-08 18:00:00,32.3,51.0,,
2016-02-08 19:00:00,28.3,55.6,,
2016-02-08 20:00:00,25.3,59.8,,
2016-02-08 21:00:00,24.7,59.0,,
2016-02-08 22:00:00,20.8,61.8,,
2016-02-08 23:00:00,20.2,62.3,,
2016-02-09 00:00:00,17.3,64.5,,
2016-02-09 01:00:00,17.6,61.3,,
2016-02-09 02:00:00,15.1,64.1,,
2016-02-09 03:00:00,15.2,66.8,,
2016-02-09 04:00:00,23.7,57.2,,
2016-02-09 05:00:00,36.5,46.1,,
2016-02-09 06:00:00,60.8,24.8,,
2016-02-09 07:00:00,76.2,12.5,,
2016-02-09 08:00:00,70.4,14.3,,
2016-02-09 09:00:00,84.9,11.7,,
2016-02-09 10:00:00,88.3,10.7,,
2016-02-09 11:00:00,79.9,21.6,,
2016-02-09 12:00:00,70.7,31.0,,
2016-02-09 13:00:00,65.7,38.1,,
2016-02-09 14:00:00,63.2,35.1,,
